ナンバーズ３４,データダウンロードサービス,http://toe.jp/numbers34/,,,,,,,,,,
回別,抽選日,当せん番号,ストレート口数,ストレート金額,ボックス口数,ボックス金額,セットストレート口数,セットストレート金額,セットボックス口数,セットボックス金額,ミニ口数,ミニ金額
第2623回,06/22(月),619,301,"50,900",964,"8,400",628,"29,600","1,462","4,200",568,"5,000"
第2622回,06/19(金),354,61,"126,700",514,"21,100",145,"73,900","1,007","10,500",424,"12,600"
第2621回,06/18(木),308,284,"55,100",560,"9,100",463,"32,100","1,002","4,500",562,"5,500"
第2620回,06/17(水),275,87,"92,400",647,"15,400",192,"53,900","1,307","7,700",485,"9,200"
第2619回,06/16(火),613,215,"54,100",740,"9,000",454,"31,500","1,445","4,500",529,"5,400"
第2618回,06/15(月),759,98,"109,000",604,"18,100",218,"63,500","1,137","9,000",687,"10,900"
第2617回,06/12(金),569,112,"77,500",627,"12,900",250,"45,200","1,222","6,400",953,"7,700"
第2616回,06/11(木),47,62,"144,000",367,"24,000",101,"84,000",778,"12,000",397,"14,400"
第2615回,06/10(水),207,100,"103,300",393,"17,200",203,"60,200",814,"8,600",291,"10,300"
第2614回,06/09(火),668,66,"122,200",214,"40,700",137,"81,400",233,"20,300",539,"12,200"
第2613回,06/08(月),831,215,"65,500",893,"10,900",347,"38,200","1,682","5,400",552,"6,500"
第2612回,06/05(金),617,191,"65,100",547,"10,800",381,"37,900","1,133","5,400",677,"6,500"
第2611回,06/04(木),109,120,"93,600",428,"15,600",260,"54,600",793,"7,800",362,"9,300"
第2610回,06/03(水),643,113,"85,200",533,"14,200",233,"49,700","1,171","7,100",447,"8,500"
第2609回,06/02(火),679,98,"91,400",463,"15,200",249,"53,300",877,"7,600",536,"9,100"
第2608回,06/01(月),108,193,"77,300",701,"12,800",369,"45,000","1,126","6,400",638,"7,700"
第2607回,05/29(金),227,117,"94,200",234,"31,400",241,"62,800",333,"15,700",609,"9,400"
第2606回,05/28(木),114,172,"65,100",334,"21,700",333,"43,400",485,"10,800",505,"6,500"
第2605回,05/27(水),412,133,"77,200",566,"12,800",290,"45,000","1,005","6,400",606,"7,700"
第2604回,05/26(火),870,115,"95,700",376,"15,900",200,"55,800",770,"7,900",755,"9,500"
第2603回,05/25(月),869,147,"83,200",683,"13,800",329,"48,500","1,282","6,900",693,"8,300"
第2602回,05/22(金),87,54,"146,400",330,"24,400",133,"85,400",827,"12,200",374,"14,600"
第2601回,05/21(木),125,169,"58,100",910,"9,600",340,"33,800","1,613","4,800",596,"5,800"
第2600回,05/20(水),748,78,"99,700",521,"16,600",206,"58,100","1,072","8,300",342,"9,900"
第2599回,05/19(火),23,90,"97,400",476,"16,200",183,"56,800",931,"8,100",584,"9,700"
第2598回,05/18(月),854,119,"108,100",537,"18,000",192,"63,000","1,005","9,000",729,"10,800"
第2597回,05/15(金),948,100,"106,300",419,"17,700",228,"62,000",923,"8,800",527,"10,600"
第2596回,05/14(木),769,86,"119,100",369,"19,800",151,"69,400",882,"9,900",493,"11,900"
第2595回,05/13(水),117,262,"54,400",358,"18,100",383,"36,200",377,"9,000",603,"5,400"
第2594回,05/12(火),713,172,"63,300",688,"10,500",317,"36,900","1,435","5,200",535,"6,300"
第2593回,05/11(月),637,143,"93,900",665,"15,600",268,"54,700","1,204","7,800",620,"9,300"
第2592回,05/08(金),183,134,"72,200",827,"12,000",293,"42,100","1,707","6,000",496,"7,200"
第2591回,05/07(木),972,85,"92,700",528,"15,400",206,"54,000","1,236","7,700",405,"9,200"
第2590回,05/06(水),401,101,"82,300",506,"13,700",250,"48,000","1,019","6,800",376,"8,200"
第2589回,05/05(火),967,94,"122,100",299,"20,300",119,"71,200",707,"10,100",288,"12,200"
第2588回,05/04(月),714,168,"66,000",993,"11,000",351,"38,500","1,720","5,500",534,"6,600"
第2587回,05/01(金),775,140,"95,900",324,"31,900",206,"63,900",327,"15,900",586,"9,500"
第2586回,04/30(木),124,173,"72,700",604,"12,100",300,"42,400","1,259","6,000",747,"7,200"
第2585回,04/29(水),943,47,"126,400",380,"21,000",139,"73,700",869,"10,500",396,"12,600"
第2584回,04/28(火),263,156,"77,300",640,"12,800",240,"45,000","1,424","6,400",458,"7,700"
第2583回,04/27(月),938,145,"82,600",669,"13,700",326,"48,100","1,392","6,800",933,"8,200"
第2582回,04/24(金),179,83,"97,000",624,"16,100",222,"56,500","1,420","8,000",365,"9,700"
第2581回,04/23(木),916,121,"96,700",402,"16,100",228,"56,400",829,"8,000",448,"9,600"
第2580回,04/22(水),315,209,"58,300",755,"9,700",406,"34,000","1,251","4,800",451,"5,800"
第2579回,04/21(火),397,92,"110,000",385,"18,300",188,"64,100",801,"9,100",298,"11,000"
第2578回,04/20(月),125,192,"74,300",806,"12,300",366,"43,300","1,312","6,100",566,"7,400"
第2577回,04/17(金),925,184,"67,600",613,"11,200",344,"39,400","1,192","5,600",768,"6,700"
第2576回,04/16(木),870,79,"122,600",369,"20,400",180,"71,500",810,"10,200",462,"12,200"
第2575回,04/15(水),401,132,"76,600",653,"12,700",286,"44,600","1,324","6,300",454,"7,600"
第2574回,04/14(火),396,89,"92,500",487,"15,400",204,"53,900","1,044","7,700",289,"9,200"
第2573回,04/13(月),910,140,"79,200",752,"13,200",334,"46,200","1,484","6,600",533,"7,900"
第2572回,04/10(金),400,203,"60,200",392,"20,000",295,"40,100",451,"10,000","1,288","6,000"
第2571回,04/09(木),169,81,"94,100",550,"15,600",211,"54,800","1,155","7,800",465,"9,400"
第2570回,04/08(水),472,94,"72,000",828,"12,000",266,"42,000","1,549","6,000",467,"7,200"
第2569回,04/07(火),283,101,"98,200",521,"16,300",174,"57,200","1,096","8,100",372,"9,800"
第2568回,04/06(月),890,110,"104,000",630,"17,300",228,"60,600","1,395","8,600",497,"10,400"
第2567回,04/03(金),477,114,"100,500",313,"33,500",177,"67,000",389,"16,700",497,"10,000"
第2566回,04/02(木),308,157,"77,700",438,"12,900",324,"45,300",949,"6,400",593,"7,700"
第2565回,04/01(水),597,64,"138,300",435,"23,000",118,"80,600",850,"11,500",275,"13,800"
第2564回,03/31(火),566,111,"101,900",269,"33,900",163,"67,900",336,"16,900",515,"10,100"
第2563回,03/30(月),413,261,"71,100",794,"11,800",355,"41,400","1,225","5,900",537,"7,100"
第2562回,03/27(金),117,273,"47,300",498,"15,700",538,"31,500",577,"7,800",565,"4,700"
第2561回,03/26(木),667,134,"88,100",333,"29,300",199,"58,700",294,"14,600",563,"8,800"
第2560回,03/25(水),753,154,"76,600",619,"12,700",223,"44,600","1,130","6,300",522,"7,600"
第2559回,03/24(火),445,108,"99,500",227,"33,100",182,"66,300",275,"16,500",458,"9,900"
第2558回,03/23(月),611,159,"88,500",405,"29,500",203,"59,000",601,"14,700",480,"8,800"
第2557回,03/20(金),50,53,"114,500",272,"38,100",128,"76,300",318,"19,000",558,"11,400"
第2556回,03/19(木),586,73,"128,300",440,"21,300",162,"74,800",790,"10,600",302,"12,800"
第2555回,03/18(水),118,192,"62,000",318,"20,600",359,"41,300",419,"10,300",843,"6,200"
第2554回,03/17(火),828,113,"98,600",246,"32,800",197,"65,700",268,"16,400",602,"9,800"
第2553回,03/16(月),404,165,"91,100",414,"30,300",260,"60,700",482,"15,100",486,"9,100"
第2552回,03/13(金),195,105,"104,200",504,"17,300",165,"60,700","1,117","8,600",567,"10,400"
第2551回,03/12(木),571,114,"79,000",722,"13,100",252,"46,000","1,585","6,500",532,"7,900"
第2550回,03/11(水),814,98,"95,100",497,"15,800",227,"55,400","1,029","7,900",489,"9,500"
第2549回,03/10(火),481,64,"121,100",486,"20,100",165,"70,600","1,070","10,000",328,"12,100"
第2548回,03/09(月),779,140,"93,600",407,"31,200",285,"62,400",422,"15,600",613,"9,300"
第2547回,03/06(金),992,107,"94,000",306,"31,300",207,"62,600",457,"15,600",512,"9,400"
第2546回,03/05(木),11,100,"109,400",301,"36,400",131,"72,900",480,"18,200",549,"10,900"
第2545回,03/04(水),660,107,"118,800",203,"39,600",156,"79,200",322,"19,800",322,"11,800"
第2544回,03/03(火),403,98,"96,200",462,"16,000",241,"56,100",996,"8,000",495,"9,600"
第2543回,03/02(月),596,183,"91,900",704,"15,300",299,"53,600","1,431","7,600",531,"9,100"
第2542回,02/27(金),660,118,"117,400",279,"39,100",171,"78,200",320,"19,500",431,"11,700"
第2541回,02/26(木),788,202,"47,200",758,"15,700",384,"31,400","1,133","7,800","1,218","4,700"
第2540回,02/25(水),787,241,"63,400",364,"21,100",362,"42,200",412,"10,500",377,"6,300"
第2539回,02/24(火),686,74,"124,200",206,"41,400",167,"82,800",294,"20,700",323,"12,400"
第2538回,02/23(月),484,91,"142,300",276,"47,400",141,"94,800",324,"23,700",555,"14,200"
第2537回,02/20(金),70,55,"131,900",258,"43,900",127,"87,900",415,"21,900",490,"13,100"
第2536回,02/19(木),133,103,"81,400",404,"27,100",180,"54,200",639,"13,500",808,"8,100"
第2535回,02/18(水),134,119,"91,200",604,"15,200",186,"53,200","1,189","7,600",528,"9,100"
第2534回,02/17(火),648,200,"62,600",794,"10,400",331,"36,500","1,414","5,200",614,"6,200"
第2533回,02/16(月),529,220,"77,800",861,"12,900",335,"45,300","1,608","6,400",706,"7,700"
第2532回,02/13(金),31,88,"111,300",624,"18,500",135,"64,900","1,535","9,200",471,"11,100"
第2531回,02/12(木),319,171,"75,800",623,"12,600",313,"44,200","1,116","6,300",467,"7,500"
第2530回,02/11(水),776,64,"162,600",156,"54,200",99,"108,400",226,"27,100",280,"16,200"
第2529回,02/10(火),320,169,"81,800",452,"13,600",279,"47,700",953,"6,800",504,"8,100"
第2528回,02/09(月),69,161,"101,900",591,"16,900",225,"59,400","1,182","8,400",648,"10,100"
第2527回,02/06(金),147,150,"70,900",823,"11,800",354,"41,300","1,505","5,900",490,"7,000"
第2526回,02/05(木),573,179,"62,500",985,"10,400",335,"36,400","1,726","5,200",584,"6,200"
第2525回,02/04(水),434,89,"128,900",223,"42,900",135,"85,900",293,"21,400",396,"12,800"
第2524回,02/03(火),461,101,"101,400",554,"16,900",186,"59,100","1,089","8,400",331,"10,100"
第2523回,02/02(月),412,256,"66,700","1,009","11,100",416,"38,900","1,632","5,500",669,"6,600"
第2522回,01/30(金),631,119,"81,000",756,"13,500",233,"47,200","1,538","6,700",652,"8,100"
第2521回,01/29(木),845,93,"99,900",513,"16,600",223,"58,200",992,"8,300",558,"9,900"
第2520回,01/28(水),826,145,"71,000",682,"11,800",329,"41,400","1,307","5,900",552,"7,100"
第2519回,01/27(火),762,69,"95,500",623,"15,900",180,"55,700","1,392","7,900",595,"9,500"
第2518回,01/26(月),509,111,"103,700",646,"17,200",278,"60,400","1,180","8,600",660,"10,300"
第2517回,01/23(金),593,108,"90,300",606,"15,000",265,"52,600","1,298","7,500",451,"9,000"
第2516回,01/22(木),614,187,"65,300",580,"10,800",376,"38,000","1,164","5,400",491,"6,500"
第2515回,01/21(水),828,147,"87,800",252,"29,200",231,"58,500",297,"14,600",491,"8,700"
第2514回,01/20(火),776,67,"139,900",189,"46,600",108,"93,200",238,"23,300",666,"13,900"
第2513回,01/19(月),233,121,"110,300",348,"36,700",174,"73,500",438,"18,300",898,"11,000"
第2512回,01/16(金),308,127,"90,000",483,"15,000",289,"52,500",983,"7,500",545,"9,000"
第2511回,01/15(木),715,180,"57,300",841,"9,500",393,"33,400","1,623","4,700",769,"5,700"
第2510回,01/14(水),243,93,"84,300",732,"14,000",209,"49,100","1,365","7,000",452,"8,400"
第2509回,01/13(火),1,82,"110,500",260,"36,800",165,"73,600",310,"18,400",551,"11,000"
第2508回,01/12(月),328,193,"69,600",847,"11,600",393,"40,600","1,476","5,800",627,"6,900"
第2507回,01/09(金),685,121,"95,500",571,"15,900",193,"55,700","1,231","7,900",318,"9,500"
第2506回,01/08(木),724,168,"67,500",772,"11,200",328,"39,300","1,365","5,600",496,"6,700"
第2505回,01/07(水),797,97,"106,800",297,"35,600",188,"71,200",357,"17,800",376,"10,600"
第2504回,01/06(火),799,105,"102,900",235,"34,300",150,"68,600",300,"17,100",985,"10,200"
第2503回,01/05(月),534,115,"97,600",779,"16,200",220,"56,900","1,554","8,100",458,"9,700"
第2502回,2008/12/30(火),654,76,"119,400",513,"19,900",143,"69,600","1,031","9,900",335,"11,900"
第2501回,12/29(月),610,221,"66,000",799,"11,000",525,"38,500","1,555","5,500",568,"6,600"
第2500回,12/26(金),885,114,"105,800",285,"35,200",202,"70,500",315,"17,600",443,"10,500"
第2499回,12/25(木),817,123,"71,400",760,"11,900",322,"41,600","1,469","5,900",606,"7,100"
第2498回,12/24(水),300,159,"82,700",275,"27,500",175,"55,100",252,"13,700","1,119","8,200"
第2497回,12/23(火),630,106,"77,200",578,"12,800",265,"45,000","1,240","6,400",460,"7,700"
第2496回,12/22(月),514,183,"87,200",716,"14,500",289,"50,800","1,206","7,200",483,"8,700"
第2495回,12/19(金),12,128,"85,300",690,"14,200",269,"49,700","1,189","7,100",591,"8,500"
第2494回,12/18(木),669,118,"98,100",273,"32,700",193,"65,400",366,"16,300",548,"9,800"
第2493回,12/17(水),640,101,"116,200",399,"19,300",165,"67,700",796,"9,600",322,"11,600"
第2492回,12/16(火),155,79,"116,600",241,"38,800",120,"77,700",424,"19,400",750,"11,600"
第2491回,12/15(月),420,192,"79,200",733,"13,200",385,"46,200","1,357","6,600",595,"7,900"
第2490回,12/12(金),308,136,"83,400",537,"13,900",296,"48,600","1,145","6,900",503,"8,300"
第2489回,12/11(木),75,67,"118,500",429,"19,700",153,"69,100",963,"9,800",551,"11,800"
第2488回,12/10(水),927,127,"73,500",680,"12,200",289,"42,800","1,310","6,100",548,"7,300"
第2487回,12/09(火),260,75,"103,100",471,"17,100",183,"60,100",941,"8,500",355,"10,300"
第2486回,12/08(月),341,161,"91,400",650,"15,200",241,"53,300","1,224","7,600",554,"9,100"
第2485回,12/05(金),588,127,"97,300",229,"32,400",158,"64,800",280,"16,200",711,"9,700"
第2484回,12/04(木),82,64,"115,300",489,"19,200",149,"67,200","1,062","9,600",394,"11,500"
第2483回,12/03(水),707,102,"107,500",247,"35,800",187,"71,600",259,"17,900",310,"10,700"
第2482回,12/02(火),415,139,"78,400",449,"13,000",289,"45,700",963,"6,500",527,"7,800"
第2481回,12/01(月),908,197,"74,500",781,"12,400",386,"43,400","1,347","6,200",530,"7,400"
第2480回,11/28(金),879,62,"95,400",594,"15,900",234,"55,600","1,287","7,900",447,"9,500"
第2479回,11/27(木),20,94,"101,300",203,"33,700",114,"67,500",342,"16,800","1,011","10,100"
第2478回,11/26(水),425,129,"81,700",499,"13,600",243,"47,600",960,"6,800",533,"8,100"
第2477回,11/25(火),381,124,"75,800",620,"12,600",231,"44,200","1,287","6,300",479,"7,500"
第2476回,11/24(月),560,81,"138,500",365,"23,000",130,"80,700",776,"11,500",275,"13,800"
第2475回,11/21(金),933,83,"90,000",340,"30,000",145,"60,000",461,"15,000",971,"9,000"
第2474回,11/20(木),870,52,"132,400",392,"22,000",144,"77,200",810,"11,000",327,"13,200"
第2473回,11/19(水),278,120,"78,300",501,"13,000",278,"45,600",999,"6,500",426,"7,800"
第2472回,11/18(火),862,100,"87,900",623,"14,600",170,"51,200","1,318","7,300",359,"8,700"
第2471回,11/17(月),424,150,"98,000",333,"32,600",196,"65,300",393,"16,300",693,"9,800"
第2470回,11/14(金),654,89,"95,500",617,"15,900",203,"55,700","1,130","7,900",474,"9,500"
第2469回,11/13(木),868,94,"115,100",200,"38,300",137,"76,700",392,"19,100",398,"11,500"
第2468回,11/12(水),178,237,"54,100",604,"9,000",379,"31,500","1,196","4,500",762,"5,400"
第2467回,11/11(火),758,123,"82,400",527,"13,700",239,"48,000","1,127","6,800",490,"8,200"
第2466回,11/10(月),634,166,"81,800",709,"13,600",332,"47,700","1,210","6,800",574,"8,100"
第2465回,11/07(金),996,83,"140,400",170,"46,800",147,"93,600",244,"23,400",324,"14,000"
第2464回,11/06(木),150,78,"114,100",467,"19,000",169,"66,500",954,"9,500",321,"11,400"
第2463回,11/05(水),89,173,"66,200",625,"11,000",359,"38,600","1,224","5,500",467,"6,600"
第2462回,11/04(火),600,69,"109,900",210,"36,600",132,"73,200",268,"18,300","1,053","10,900"
第2461回,11/03(月),226,187,"84,600",334,"28,200",251,"56,400",420,"14,100",643,"8,400"
第2460回,10/31(金),449,89,"129,000",210,"43,000",171,"86,000",240,"21,500",434,"12,900"
第2459回,10/30(木),108,160,"72,200",638,"12,000",334,"42,100","1,162","6,000",472,"7,200"
第2458回,10/29(水),942,54,"111,300",556,"18,500",120,"64,900","1,285","9,200",570,"11,100"
第2457回,10/28(火),625,129,"86,600",524,"14,400",239,"50,500",865,"7,200",622,"8,600"
第2456回,10/27(月),969,123,"118,600",286,"39,500",193,"79,000",359,"19,700",684,"11,800"
第2455回,10/24(金),247,141,"64,300",881,"10,700",347,"37,500","1,746","5,300",537,"6,400"
第2454回,10/23(木),562,99,"95,400",609,"15,900",169,"55,600","1,185","7,900",360,"9,500"
第2453回,10/22(水),213,137,"71,800",753,"11,900",258,"41,800","1,436","5,900",439,"7,100"
第2452回,10/21(火),53,64,"138,300",448,"23,000",92,"80,600",929,"11,500",327,"13,800"
第2451回,10/20(月),618,239,"61,600",878,"10,200",496,"35,900","1,277","5,100",983,"6,100"
第2450回,10/17(金),327,202,"58,800",852,"9,800",385,"34,300","1,641","4,900",721,"5,800"
第2449回,10/16(木),136,111,"79,600",646,"13,200",262,"46,400","1,317","6,600",686,"7,900"
第2448回,10/15(水),950,52,"129,400",427,"21,500",175,"75,400",921,"10,700",309,"12,900"
第2447回,10/14(火),560,49,"153,500",306,"25,500",105,"89,500",585,"12,700",255,"15,300"
第2446回,10/13(月),468,144,"87,000",660,"14,500",261,"50,700",957,"7,200",585,"8,700"
第2445回,10/10(金),410,143,"69,200",778,"11,500",307,"40,300","1,412","5,700",644,"6,900"
第2444回,10/09(木),493,94,"103,100",332,"17,100",148,"60,100",773,"8,500","1,009","10,300"
第2443回,10/08(水),15,87,"104,500",472,"17,400",144,"60,900","1,099","8,700",456,"10,400"
第2442回,10/07(火),591,62,"118,900",465,"19,800",146,"69,300",935,"9,900",507,"11,800"
第2441回,10/06(月),187,92,"107,100",693,"17,800",196,"62,400","1,422","8,900",519,"10,700"
第2440回,10/03(金),234,180,"65,800",822,"10,900",341,"38,300","1,333","5,400",496,"6,500"
第2439回,10/02(木),157,136,"74,400",767,"12,400",244,"43,400","1,521","6,200",375,"7,400"
第2438回,10/01(水),802,100,"102,700",406,"17,100",200,"59,900",933,"8,500",491,"10,200"
第2437回,09/30(火),817,136,"83,000",474,"13,800",245,"48,400",966,"6,900",528,"8,300"
第2436回,09/29(月),321,223,"62,600","1,114","10,400",369,"36,500","1,808","5,200",600,"6,200"
第2435回,09/26(金),972,77,"88,900",736,"14,800",201,"51,800","1,660","7,400",535,"8,800"
第2434回,09/25(木),544,105,"110,000",231,"36,600",118,"73,300",304,"18,300",816,"11,000"
第2433回,09/24(水),440,98,"112,700",223,"37,500",183,"75,100",262,"18,700",296,"11,200"
第2432回,09/23(火),223,124,"82,300",243,"27,400",182,"54,800",310,"13,700",797,"8,200"
第2431回,09/22(月),675,133,"99,700",698,"16,600",218,"58,100","1,207","8,300",586,"9,900"
第2430回,09/19(金),314,229,"66,900",593,"11,100",326,"39,000","1,103","5,500",505,"6,600"
第2429回,09/18(木),432,115,"83,600",608,"13,900",218,"48,700","1,364","6,900",382,"8,300"
第2428回,09/17(水),748,106,"95,300",512,"15,800",207,"55,500","1,115","7,900",340,"9,500"
第2427回,09/16(火),232,82,"109,800",277,"36,600",126,"73,200",401,"18,300",351,"10,900"
第2426回,09/15(月),472,162,"67,200","1,076","11,200",292,"39,200","1,684","5,600",739,"6,700"
第2425回,09/12(金),621,138,"74,900",781,"12,400",299,"43,600","1,511","6,200",500,"7,400"
第2424回,09/11(木),718,122,"79,500",554,"13,200",317,"46,300","1,103","6,600",582,"7,900"
第2423回,09/10(水),953,96,"107,300",539,"17,800",151,"62,500","1,106","8,900",390,"10,700"
第2422回,09/09(火),417,230,"54,400",772,"9,000",441,"31,700","1,390","4,500",547,"5,400"
第2421回,09/08(月),148,138,"97,700",691,"16,200",244,"56,900","1,185","8,100",653,"9,700"
第2420回,09/05(金),801,99,"101,000",516,"16,800",224,"58,900","1,016","8,400",550,"10,100"
第2419回,09/04(木),532,94,"99,400",629,"16,500",140,"57,900","1,173","8,200",564,"9,900"
第2418回,09/03(水),425,163,"87,400",466,"14,500",243,"50,900",825,"7,200",431,"8,700"
第2417回,09/02(火),200,75,"104,300",256,"34,700",160,"69,500",401,"17,300",641,"10,400"
第2416回,09/01(月),200,98,"135,700",241,"45,200",128,"90,400",294,"22,600",946,"13,500"
第2415回,08/29(金),734,98,"92,800",596,"15,400",246,"54,100","1,172","7,700",547,"9,200"
第2414回,08/28(木),483,111,"86,900",569,"14,400",242,"50,600","1,134","7,200",428,"8,600"
第2413回,08/27(水),764,68,"113,000",500,"18,800",165,"65,900",874,"9,400",518,"11,300"
第2412回,08/26(火),725,160,"70,000",619,"11,600",322,"40,800","1,157","5,800",434,"7,000"
第2411回,08/25(月),667,152,"100,400",333,"33,400",228,"66,900",313,"16,700",544,"10,000"
第2410回,08/22(金),551,126,"105,000",244,"35,000",167,"70,000",343,"17,500",347,"10,500"
第2409回,08/21(木),677,86,"122,100",188,"40,700",144,"81,400",251,"20,300",504,"12,200"
第2408回,08/20(水),16,64,"98,500",585,"16,400",187,"57,400","1,205","8,200",416,"9,800"
第2407回,08/19(火),812,172,"61,600",722,"10,200",310,"35,900","1,497","5,100",440,"6,100"
第2406回,08/18(月),247,189,"69,700","1,023","11,600",346,"40,600","1,629","5,800",634,"6,900"
第2405回,08/15(金),311,103,"86,000",340,"28,600",183,"57,300",477,"14,300",646,"8,600"
第2404回,08/14(木),158,101,"79,200",626,"13,200",180,"46,200","1,459","6,600",379,"7,900"
第2403回,08/13(水),750,60,"128,800",312,"21,400",132,"75,100",778,"10,700",268,"12,800"
第2402回,08/12(火),928,119,"74,800",483,"12,400",277,"43,600","1,132","6,200",478,"7,400"
第2401回,08/11(月),117,242,"57,500",508,"19,100",424,"38,300",571,"9,500",656,"5,700"
第2400回,08/08(金),703,154,"79,200",500,"13,200",326,"46,200",923,"6,600",370,"7,900"
第2399回,08/07(木),801,114,"80,900",580,"13,400",241,"47,100","1,204","6,700",436,"8,000"
第2398回,08/06(水),140,76,"98,700",549,"16,400",157,"57,500","1,201","8,200",371,"9,800"
第2397回,08/05(火),531,137,"71,800",607,"11,900",256,"41,800","1,304","5,900",428,"7,100"
第2396回,08/04(月),3,127,"111,900",334,"37,300",157,"74,600",338,"18,600",431,"11,100"
第2395回,08/01(金),169,96,"101,500",496,"16,900",197,"59,200","1,174","8,400",437,"10,100"
第2394回,07/31(木),8,81,"137,300",210,"45,700",98,"91,500",298,"22,800",365,"13,700"
第2393回,07/30(水),963,80,"93,600",560,"15,600",178,"54,600","1,318","7,800",419,"9,300"
第2392回,07/29(火),325,168,"72,700",507,"12,100",285,"42,400",928,"6,000",511,"7,200"
第2391回,07/28(月),900,111,"117,600",261,"39,200",173,"78,400",339,"19,600",676,"11,700"
第2390回,07/25(金),271,93,"84,400",712,"14,000",209,"49,200","1,493","7,000",548,"8,400"
第2389回,07/24(木),142,77,"97,700",548,"16,200",121,"56,900","1,263","8,100",632,"9,700"
第2388回,07/23(水),475,109,"97,600",412,"16,200",157,"56,900",829,"8,100",647,"9,700"
第2387回,07/22(火),626,107,"92,100",252,"30,700",197,"61,400",234,"15,300",636,"9,200"
第2386回,07/21(月),141,87,"130,000",265,"43,300",109,"86,600",437,"21,600",341,"13,000"
第2385回,07/18(金),733,75,"102,600",289,"34,200",143,"68,400",448,"17,100",811,"10,200"
第2384回,07/17(木),66,62,"119,500",227,"39,800",142,"79,600",363,"19,900",529,"11,900"
第2383回,07/16(水),568,153,"90,700",419,"15,100",236,"52,900",693,"7,500",345,"9,000"
第2382回,07/15(火),141,80,"120,800",206,"40,200",139,"80,500",380,"20,100",366,"12,000"
第2381回,07/14(月),286,112,"96,000",825,"16,000",219,"56,000","1,430","8,000",482,"9,600"
第2380回,07/11(金),372,132,"84,500",595,"14,000",218,"49,200","1,237","7,000",703,"8,400"
第2379回,07/10(木),200,122,"105,600",205,"35,200",115,"70,400",298,"17,600",926,"10,500"
第2378回,07/09(水),808,145,"93,200",260,"31,000",186,"62,100",255,"15,500",471,"9,300"
第2377回,07/08(火),202,203,"84,900",260,"28,300",162,"56,600",349,"14,100",382,"8,400"
第2376回,07/07(月),271,160,"78,300",992,"13,000",260,"45,600","1,941","6,500",686,"7,800"
第2375回,07/04(金),618,179,"75,000",552,"12,500",354,"43,700",936,"6,200",698,"7,500"
第2374回,07/03(木),943,95,"111,500",436,"18,500",172,"65,000",999,"9,200",457,"11,100"
第2373回,07/02(水),703,239,"59,600",606,"9,900",486,"34,700",939,"4,900",412,"5,900"
第2372回,07/01(火),856,65,"116,100",526,"19,300",169,"67,700",981,"9,600",427,"11,600"
第2371回,06/30(月),960,162,"97,000",588,"16,100",250,"56,500","1,191","8,000",763,"9,700"
第2370回,06/27(金),816,165,"75,700",590,"12,600",314,"44,100","1,339","6,300",570,"7,500"
第2369回,06/26(木),9,85,"115,600",228,"38,500",162,"77,000",365,"19,200",513,"11,500"
第2368回,06/25(水),597,107,"100,900",562,"16,800",175,"58,800",985,"8,400",380,"10,000"
第2367回,06/24(火),777,879,"44,200",0,0,0,0,0,0,717,"4,400"
第2366回,06/23(月),991,139,"121,900",295,"40,600",150,"81,200",377,"20,300",363,"12,100"
第2365回,06/20(金),70,63,"148,500",196,"49,500",117,"99,000",302,"24,700",451,"14,800"
第2364回,06/19(木),401,100,"103,600",488,"17,200",182,"60,400",970,"8,600",363,"10,300"
第2363回,06/18(水),215,121,"77,500",533,"12,900",310,"45,200","1,131","6,400",557,"7,700"
第2362回,06/17(火),809,86,"98,200",474,"16,300",224,"57,200","1,073","8,100",425,"9,800"
第2361回,06/16(月),474,147,"108,600",344,"36,200",189,"72,400",391,"18,100",530,"10,800"
第2360回,06/13(金),272,84,"112,800",310,"37,600",145,"75,200",482,"18,800",530,"11,200"
第2359回,06/12(木),538,123,"69,800",712,"11,600",275,"40,700","1,551","5,800",702,"6,900"
第2358回,06/11(水),704,108,"103,300",414,"17,200",201,"60,200",800,"8,600",354,"10,300"
第2357回,06/10(火),596,114,"100,900",412,"16,800",212,"58,800",851,"8,400",379,"10,000"
第2356回,06/09(月),91,70,"126,700",569,"21,100",151,"73,900","1,233","10,500",500,"12,600"
第2355回,06/06(金),453,99,"105,700",507,"17,600",221,"61,600",910,"8,800",441,"10,500"
第2354回,06/05(木),739,124,"85,700",531,"14,200",227,"49,900","1,063","7,100",563,"8,500"
第2353回,06/04(水),471,153,"67,500",783,"11,200",256,"39,300","1,725","5,600",547,"6,700"
第2352回,06/03(火),41,46,"127,700",403,"21,200",103,"74,400",940,"10,600",594,"12,700"
第2351回,06/02(月),342,89,"115,300",650,"19,200",160,"67,200","1,356","9,600",444,"11,500"
第2350回,05/30(金),772,118,"91,400",316,"30,400",201,"60,900",554,"15,200",417,"9,100"
第2349回,05/29(木),842,86,"82,700",668,"13,700",217,"48,200","1,416","6,800",544,"8,200"
第2348回,05/28(水),975,68,"114,800",436,"19,100",169,"66,900",933,"9,500",436,"11,400"
第2347回,05/27(火),183,75,"85,300",615,"14,200",224,"49,700","1,360","7,100",556,"8,500"
第2346回,05/26(月),613,209,"70,700",864,"11,700",353,"41,200","1,411","5,800",659,"7,000"
第2345回,05/23(金),316,210,"66,700",596,"11,100",359,"38,900","1,167","5,500",520,"6,600"
第2344回,05/22(木),677,145,"95,500",174,"31,800",170,"63,600",243,"15,900",788,"9,500"
