ナンバーズ３４,データダウンロードサービス,http://toe.jp/numbers34/,,,,,,,,,,
回別,抽選日,当せん番号,ストレート口数,ストレート金額,ボックス口数,ボックス金額,セットストレート口数,セットストレート金額,セットボックス口数,セットボックス金額,ミニ口数,ミニ金額
第4699回,07/05(水),749,47,"107,900",388,"17,900",163,"62,900",793,"8,900",456,"10,700"
第4698回,07/04(火),713,98,"66,500",569,"11,000",281,"38,700","1,136","5,500",401,"6,600"
第4697回,07/03(月),871,125,"67,200",702,"11,200",322,"39,200","1,379","5,600",714,"6,700"
第4696回,06/30(金),161,73,"98,800",280,"32,900",133,"65,800",472,"16,400",403,"9,800"
第4695回,06/29(木),208,60,"104,200",411,"17,300",177,"60,700",786,"8,600",322,"10,400"
第4694回,06/28(水),796,88,"97,300",346,"16,200",157,"56,700",732,"8,100",590,"9,700"
第4693回,06/27(火),171,79,"71,800",378,"23,900",199,"47,800",575,"11,900",468,"7,100"
第4692回,06/26(月),242,55,"125,900",297,"41,900",104,"83,900",407,"20,900",453,"12,500"
第4691回,06/23(金),811,83,"99,400",228,"33,100",169,"66,200",333,"16,500",496,"9,900"
第4690回,06/22(木),375,81,"79,100",555,"13,100",226,"46,100","1,007","6,500",496,"7,900"
第4689回,06/21(水),311,73,"85,400",227,"28,400",175,"56,900",342,"14,200",627,"8,500"
第4688回,06/20(火),671,45,"115,700",437,"19,200",117,"67,400",969,"9,600",330,"11,500"
第4687回,06/19(月),874,119,"91,700",593,"15,200",185,"53,400","1,051","7,600",519,"9,100"
第4686回,06/16(金),540,58,"103,700",568,"17,200",136,"60,400","1,071","8,600",382,"10,300"
第4685回,06/15(木),501,76,"98,100",450,"16,300",180,"57,200",880,"8,100",393,"9,800"
第4684回,06/14(水),428,106,"79,400",344,"13,200",260,"46,300",671,"6,600",366,"7,900"
第4683回,06/13(火),577,53,"118,100",199,"39,300",85,"78,700",238,"19,600",570,"11,800"
第4682回,06/12(月),172,52,"67,700","1,060","11,200",222,"39,400","2,198","5,600",451,"6,700"
第4681回,06/09(金),908,135,"48,800",815,"8,100",480,"28,400","1,382","4,000",542,"4,800"
第4680回,06/08(木),37,74,"97,500",366,"16,200",139,"56,800",847,"8,100",460,"9,700"
